,date,start-val,max-val,min-val,avg-val,close-val,monetary-diff,precent-diff,amount,value,set-index,set-diff
64,16/01/18,488.00,494.00,482.00,487.42,482.00,-2.00,-0.41,"4,880.11","2,378.67","1,821.83",-0.05
65,15/01/18,478.00,488.00,478.00,482.71,484.00,14.00,2.98,"7,561.69","3,650.13","1,822.66",0.69
66,12/01/18,474.00,476.00,468.00,472.19,470.00,-2.00,-0.42,"5,916.96","2,793.37","1,810.19",0.41
67,11/01/18,468.00,472.00,462.00,466.97,472.00,2.00,0.43,"7,225.98","3,374.33","1,802.80",0.44
68,10/01/18,470.00,478.00,470.00,473.38,470.00,4.00,0.86,"12,556.86","5,944.16","1,794.92",-0.02
69,09/01/18,468.00,470.00,462.00,466.39,466.00,0.00,0.00,"5,509.20","2,569.41","1,795.21",0.13
70,08/01/18,468.00,472.00,466.00,467.94,466.00,-2.00,-0.43,"6,413.41","3,001.03","1,792.81",-0.15
71,05/01/18,472.00,474.00,464.00,468.39,468.00,-4.00,-0.85,"8,788.24","4,116.34","1,795.45",0.25
72,04/01/18,452.00,472.00,450.00,459.16,472.00,22.00,4.89,"12,470.05","5,725.71","1,791.02",0.70
73,03/01/18,442.00,450.00,440.00,446.02,450.00,10.00,2.27,"8,124.98","3,623.92","1,778.53",1.42
74,29/12/17,442.00,442.00,436.00,438.96,440.00,2.00,0.46,"3,475.26","1,525.48","1,753.71",0.60
75,28/12/17,440.00,442.00,438.00,439.62,438.00,-2.00,-0.45,"4,606.12","2,024.92","1,743.29",-0.55
76,27/12/17,444.00,448.00,440.00,443.13,440.00,0.00,0.00,"5,926.03","2,626.03","1,752.89",0.02
77,26/12/17,446.00,448.00,438.00,441.02,440.00,-8.00,-1.79,"7,140.70","3,148.18","1,752.48",0.13
78,25/12/17,448.00,452.00,446.00,448.51,448.00,2.00,0.45,"4,368.86","1,959.50","1,750.22",0.47
79,22/12/17,440.00,446.00,438.00,441.81,446.00,8.00,1.83,"6,132.24","2,708.34","1,742.08",0.30
80,21/12/17,440.00,440.00,436.00,438.34,438.00,-2.00,-0.45,"4,094.55","1,794.82","1,736.91",-0.07
81,20/12/17,438.00,440.00,436.00,438.48,440.00,2.00,0.46,"3,221.20","1,412.45","1,738.16",0.34
82,19/12/17,436.00,438.00,436.00,436.91,438.00,2.00,0.46,"3,615.78","1,579.79","1,732.31",0.50
83,18/12/17,432.00,436.00,430.00,434.35,436.00,4.00,0.93,"6,265.11","2,721.25","1,723.71",0.35
